        x           y           z    distance         rho           p        temp     fnormal        ftau          cf          qn       fr_qn          St
 -0.9997E+00  0.1603E-01  0.5000E-02  0.9998E+00  0.7165E+00  0.5451E+05  0.2638E+03  0.5451E+05  0.4460E+01  0.1834E-03  0.2295E+05  0.2295E+05  0.1924E-02
 -0.9997E+00  0.1603E-01  0.1500E-01  0.1010E+01  0.6989E+00  0.5316E+05  0.2638E+03  0.5316E+05  0.1648E+01  0.6779E-04  0.1820E+05  0.1820E+05  0.1527E-02
 -0.9997E+00  0.1603E-01  0.2500E-01  0.1020E+01  0.7096E+00  0.5398E+05  0.2638E+03  0.5398E+05  0.2380E+01  0.9785E-04  0.2142E+05  0.2142E+05  0.1797E-02
