        x           y           z    distance         rho           p        temp     fnormal        ftau          cf          qn       fr_qn          St
 -0.9997E+00  0.1603E-01  0.5000E-02  0.9998E+00  0.7527E+00  0.5721E+05  0.2636E+03  0.5721E+05  0.5773E+01  0.2374E-03  0.3536E+05  0.3536E+05  0.2960E-02
 -0.9997E+00  0.1603E-01  0.1500E-01  0.1010E+01  0.7272E+00  0.5528E+05  0.2636E+03  0.5528E+05  0.1986E+01  0.8169E-04  0.3157E+05  0.3157E+05  0.2643E-02
 -0.9997E+00  0.1603E-01  0.2500E-01  0.1020E+01  0.7447E+00  0.5660E+05  0.2636E+03  0.5660E+05  0.4396E+01  0.1808E-03  0.3436E+05  0.3436E+05  0.2876E-02
