  0.56755E+01  0.34760E-02
  0.53614E+01  0.36588E-02
  0.50417E+01  0.37811E-02
  0.47169E+01  0.38888E-02
  0.43872E+01  0.40785E-02
  0.40530E+01  0.42336E-02
  0.37147E+01  0.43245E-02
  0.33725E+01  0.44504E-02
  0.30269E+01  0.45356E-02
  0.26781E+01  0.46201E-02
  0.23267E+01  0.47401E-02
  0.19728E+01  0.48158E-02
  0.16169E+01  0.48704E-02
  0.12593E+01  0.49013E-02
  0.90041E+00  0.49095E-02
  0.54062E+00  0.49553E-02
  0.18027E+00  0.49752E-02
  0.59838E+01  0.33301E-02
  0.62860E+01  0.31731E-02
  0.65817E+01  0.29972E-02
  0.68706E+01  0.28260E-02
  0.71525E+01  0.26828E-02
  0.74270E+01  0.25245E-02
  0.76939E+01  0.23435E-02
  0.79529E+01  0.21898E-02
  0.82037E+01  0.20442E-02
  0.84461E+01  0.19128E-02
  0.86798E+01  0.17567E-02
  0.89046E+01  0.16057E-02
  0.91203E+01  0.14770E-02
  0.93265E+01  0.13552E-02
  0.95232E+01  0.12315E-02
  0.97101E+01  0.11122E-02
  0.98870E+01  0.10122E-02
  0.10054E+02  0.90336E-03
  0.10210E+02  0.80158E-03
  0.10356E+02  0.72532E-03
  0.10491E+02  0.64930E-03
  0.10616E+02  0.57143E-03
  0.10730E+02  0.50719E-03
  0.10832E+02  0.44626E-03
  0.10924E+02  0.39325E-03
  0.11004E+02  0.34990E-03
  0.11073E+02  0.30970E-03
  0.11130E+02  0.27403E-03
  0.11176E+02  0.24443E-03
  0.11211E+02  0.21696E-03
  0.11234E+02  0.19454E-03
  0.11246E+02  0.17601E-03
  0.11249E+02  0.16634E-03
  0.56755E+01  0.28092E+01
  0.53614E+01  0.27092E+01
  0.50417E+01  0.26169E+01
  0.47169E+01  0.24806E+01
  0.43872E+01  0.23615E+01
  0.40530E+01  0.22314E+01
  0.37147E+01  0.21014E+01
  0.33725E+01  0.19517E+01
  0.30269E+01  0.17560E+01
  0.26781E+01  0.17018E+01
  0.23267E+01  0.16597E+01
  0.19728E+01  0.16120E+01
  0.16169E+01  0.15681E+01
  0.12593E+01  0.15341E+01
  0.90041E+00  0.15076E+01
  0.54062E+00  0.14708E+01
  0.18027E+00  0.14150E+01
  0.59838E+01  0.28319E+01
  0.62860E+01  0.27764E+01
  0.65817E+01  0.27370E+01
  0.68706E+01  0.26757E+01
  0.71525E+01  0.25898E+01
  0.74270E+01  0.24805E+01
  0.76939E+01  0.23176E+01
  0.79529E+01  0.21760E+01
  0.82037E+01  0.20495E+01
  0.84461E+01  0.19378E+01
  0.86798E+01  0.17516E+01
  0.89046E+01  0.15041E+01
  0.91203E+01  0.14489E+01
  0.93265E+01  0.13534E+01
  0.95232E+01  0.12482E+01
  0.97101E+01  0.11476E+01
  0.98870E+01  0.10473E+01
  0.10054E+02  0.94606E+00
  0.10210E+02  0.85653E+00
  0.10356E+02  0.77285E+00
  0.10491E+02  0.70032E+00
  0.10616E+02  0.62777E+00
  0.10730E+02  0.56272E+00
  0.10832E+02  0.49605E+00
  0.10924E+02  0.43916E+00
  0.11004E+02  0.37423E+00
  0.11073E+02  0.31540E+00
  0.11130E+02  0.25427E+00
  0.11176E+02  0.20735E+00
  0.11211E+02  0.15797E+00
  0.11234E+02  0.12518E+00
  0.11246E+02  0.75777E-01
  0.11249E+02  0.37567E-01
  0.56755E+01  0.17364E+01
  0.53614E+01  0.17754E+01
  0.50417E+01  0.18131E+01
  0.47169E+01  0.18385E+01
  0.43872E+01  0.18719E+01
  0.40530E+01  0.19062E+01
  0.37147E+01  0.19352E+01
  0.33725E+01  0.19427E+01
  0.30269E+01  0.18991E+01
  0.26781E+01  0.19142E+01
  0.23267E+01  0.19311E+01
  0.19728E+01  0.19473E+01
  0.16169E+01  0.19601E+01
  0.12593E+01  0.19711E+01
  0.90041E+00  0.19793E+01
  0.54062E+00  0.19878E+01
  0.18027E+00  0.20053E+01
  0.59838E+01  0.16847E+01
  0.62860E+01  0.16298E+01
  0.65817E+01  0.15856E+01
  0.68706E+01  0.15399E+01
  0.71525E+01  0.14906E+01
  0.74270E+01  0.14380E+01
  0.76939E+01  0.13794E+01
  0.79529E+01  0.13282E+01
  0.82037E+01  0.12846E+01
  0.84461E+01  0.12360E+01
  0.86798E+01  0.11873E+01
  0.89046E+01  0.11027E+01
  0.91203E+01  0.10249E+01
  0.93265E+01  0.97648E+00
  0.95232E+01  0.93524E+00
  0.97101E+01  0.88925E+00
  0.98870E+01  0.84387E+00
  0.10054E+02  0.79272E+00
  0.10210E+02  0.74562E+00
  0.10356E+02  0.69966E+00
  0.10491E+02  0.65693E+00
  0.10616E+02  0.61132E+00
  0.10730E+02  0.56906E+00
  0.10832E+02  0.52537E+00
  0.10924E+02  0.48660E+00
  0.11004E+02  0.44505E+00
  0.11073E+02  0.40917E+00
  0.11130E+02  0.37070E+00
  0.11176E+02  0.34238E+00
  0.11211E+02  0.30820E+00
  0.11234E+02  0.29052E+00
  0.11246E+02  0.24853E+00
  0.11249E+02  0.23898E+00
  0.56755E+01  0.13791E+01
  0.53614E+01  0.14156E+01
  0.50417E+01  0.14529E+01
  0.47169E+01  0.14839E+01
  0.43872E+01  0.15142E+01
  0.40530E+01  0.15409E+01
  0.37147E+01  0.15639E+01
  0.33725E+01  0.15791E+01
  0.30269E+01  0.15572E+01
  0.26781E+01  0.15574E+01
  0.23267E+01  0.15660E+01
  0.19728E+01  0.15744E+01
  0.16169E+01  0.15762E+01
  0.12593E+01  0.15777E+01
