        x           y           z    distance         rho           p        temp     fnormal        ftau          cf          qn       fr_qn          St
 -0.9997E+00  0.1603E-01  0.5000E-02  0.9998E+00  0.7196E+00  0.5474E+05  0.2638E+03  0.5474E+05  0.4539E+01  0.1867E-03  0.2335E+05  0.2335E+05  0.1958E-02
 -0.9997E+00  0.1603E-01  0.1500E-01  0.1010E+01  0.7012E+00  0.5335E+05  0.2638E+03  0.5335E+05  0.1613E+01  0.6634E-04  0.1845E+05  0.1845E+05  0.1547E-02
 -0.9997E+00  0.1603E-01  0.2500E-01  0.1020E+01  0.7122E+00  0.5418E+05  0.2638E+03  0.5418E+05  0.2482E+01  0.1021E-03  0.2172E+05  0.2172E+05  0.1821E-02
