        x           y           z    distance         rho           p        temp     fnormal        ftau          cf          qn       fr_qn          St
 -0.9997E+00  0.1603E-01  0.5000E-02  0.9998E+00  0.6965E+00  0.5300E+05  0.2639E+03  0.5300E+05  0.9408E+00  0.3869E-04  0.9777E+04  0.9777E+04  0.8206E-03
 -0.9997E+00  0.1603E-01  0.1500E-01  0.1010E+01  0.6936E+00  0.5279E+05  0.2639E+03  0.5279E+05  0.5346E+00  0.2198E-04  0.7638E+04  0.7638E+04  0.6411E-03
 -0.9997E+00  0.1603E-01  0.2500E-01  0.1020E+01  0.6957E+00  0.5295E+05  0.2639E+03  0.5295E+05  0.7228E+00  0.2972E-04  0.9532E+04  0.9532E+04  0.8000E-03
