        x           y           z    distance         rho           p        temp     fnormal        ftau          cf          qn       fr_qn          St
 -0.9997E+00  0.1603E-01  0.5000E-02  0.9998E+00  0.7604E+00  0.5732E+05  0.2614E+03  0.5732E+05  0.4777E+01  0.1964E-03  0.1666E+05  0.1666E+05  0.1370E-02
 -0.9997E+00  0.1603E-01  0.1500E-01  0.1010E+01  0.7370E+00  0.5557E+05  0.2615E+03  0.5556E+05  0.1866E+01  0.7675E-04  0.1334E+05  0.1334E+05  0.1097E-02
 -0.9997E+00  0.1603E-01  0.2500E-01  0.1020E+01  0.7557E+00  0.5697E+05  0.2614E+03  0.5696E+05  0.4209E+01  0.1731E-03  0.1589E+05  0.1589E+05  0.1306E-02
