        x           y           z    distance         rho           p        temp     fnormal        ftau          cf          qn       fr_qn          St
 -0.9997E+00  0.1603E-01  0.5000E-02  0.9998E+00  0.6971E+00  0.5305E+05  0.2639E+03  0.5305E+05  0.1419E+01  0.5833E-04  0.1005E+05  0.1005E+05  0.8435E-03
 -0.9997E+00  0.1603E-01  0.1500E-01  0.1010E+01  0.6917E+00  0.5264E+05  0.2639E+03  0.5264E+05  0.5799E+00  0.2385E-04  0.7263E+04  0.7263E+04  0.6096E-03
 -0.9997E+00  0.1603E-01  0.2500E-01  0.1020E+01  0.6958E+00  0.5295E+05  0.2639E+03  0.5295E+05  0.1016E+01  0.4179E-04  0.9575E+04  0.9575E+04  0.8035E-03
