        x           y           z    distance         rho           p        temp     fnormal        ftau          cf          qn       fr_qn          St
 -0.9997E+00  0.1603E-01  0.5000E-02  0.9998E+00  0.6974E+00  0.5307E+05  0.2639E+03  0.5307E+05  0.4500E+00  0.1851E-04  0.5609E+04  0.5609E+04  0.4708E-03
 -0.9997E+00  0.1603E-01  0.1500E-01  0.1010E+01  0.6973E+00  0.5307E+05  0.2640E+03  0.5307E+05  0.4417E+00  0.1816E-04  0.5186E+04  0.5186E+04  0.4353E-03
 -0.9997E+00  0.1603E-01  0.2500E-01  0.1020E+01  0.6974E+00  0.5307E+05  0.2640E+03  0.5307E+05  0.4475E+00  0.1840E-04  0.5483E+04  0.5483E+04  0.4602E-03
