        x           y           z    distance         rho           p        temp     fnormal        ftau          cf          qn       fr_qn          St
 -0.9997E+00  0.1603E-01  0.5000E-02  0.9998E+00  0.5186E+00  0.5309E+05  0.3550E+03  0.5309E+05  0.1949E+00  0.8015E-05  0.4624E+04  0.4624E+04  0.1661E-02
 -0.9997E+00  0.1603E-01  0.1500E-01  0.1010E+01  0.5300E+00  0.5301E+05  0.3469E+03  0.5301E+05  0.1939E+00  0.7972E-05  0.4366E+04  0.4366E+04  0.1215E-02
 -0.9997E+00  0.1603E-01  0.2500E-01  0.1020E+01  0.5236E+00  0.5305E+05  0.3514E+03  0.5305E+05  0.1941E+00  0.7981E-05  0.4505E+04  0.4505E+04  0.1433E-02
