   270       LmaxRes= 0.4855E-01 L1Res= 0.1431E-02 CFL= 0.3645E+03 TimeStep= 0.1180E+00 CpuPerStep= 0.2384E-01
   280       LmaxRes= 0.3852E-01 L1Res= 0.1456E-02 CFL= 0.3920E+03 TimeStep= 0.1268E+00 CpuPerStep= 0.1541E-01
   290       LmaxRes= 0.3766E-01 L1Res= 0.1480E-02 CFL= 0.4205E+03 TimeStep= 0.1360E+00 CpuPerStep= 0.2402E-01
   300       LmaxRes= 0.4806E-01 L1Res= 0.1491E-02 CFL= 0.4500E+03 TimeStep= 0.1455E+00 CpuPerStep= 0.1408E-01
   310       LmaxRes= 0.8402E-01 L1Res= 0.1517E-02 CFL= 0.4805E+03 TimeStep= 0.1553E+00 CpuPerStep= 0.1636E-01
   320       LmaxRes= 0.1044E+00 L1Res= 0.1539E-02 CFL= 0.5120E+03 TimeStep= 0.1655E+00 CpuPerStep= 0.1523E-01
   330       LmaxRes= 0.6833E-01 L1Res= 0.1548E-02 CFL= 0.5445E+03 TimeStep= 0.1759E+00 CpuPerStep= 0.1437E-01
   340       LmaxRes= 0.4599E-01 L1Res= 0.1559E-02 CFL= 0.5780E+03 TimeStep= 0.1867E+00 CpuPerStep= 0.3022E-01
   350       LmaxRes= 0.1152E+00 L1Res= 0.1588E-02 CFL= 0.6125E+03 TimeStep= 0.1978E+00 CpuPerStep= 0.2467E-01
   360       LmaxRes= 0.7904E-01 L1Res= 0.1586E-02 CFL= 0.6480E+03 TimeStep= 0.2093E+00 CpuPerStep= 0.1406E-01
   370       LmaxRes= 0.6171E-01 L1Res= 0.1599E-02 CFL= 0.6845E+03 TimeStep= 0.2210E+00 CpuPerStep= 0.2243E-01
   380       LmaxRes= 0.1065E+00 L1Res= 0.1615E-02 CFL= 0.7220E+03 TimeStep= 0.2330E+00 CpuPerStep= 0.1907E-01
   390       LmaxRes= 0.2831E-01 L1Res= 0.1625E-02 CFL= 0.7605E+03 TimeStep= 0.2453E+00 CpuPerStep= 0.1685E-01
   400       LmaxRes= 0.1059E+00 L1Res= 0.1636E-02 CFL= 0.8000E+03 TimeStep= 0.2579E+00 CpuPerStep= 0.1715E-01
   410       LmaxRes= 0.3819E-01 L1Res= 0.1648E-02 CFL= 0.8405E+03 TimeStep= 0.2709E+00 CpuPerStep= 0.2865E-01
   420       LmaxRes= 0.6644E-01 L1Res= 0.1661E-02 CFL= 0.8820E+03 TimeStep= 0.2841E+00 CpuPerStep= 0.2451E-01
   430       LmaxRes= 0.2353E-01 L1Res= 0.1665E-02 CFL= 0.9245E+03 TimeStep= 0.2977E+00 CpuPerStep= 0.2319E-01
   440       LmaxRes= 0.7759E-01 L1Res= 0.1685E-02 CFL= 0.9680E+03 TimeStep= 0.3116E+00 CpuPerStep= 0.1574E-01
   450       LmaxRes= 0.2800E-01 L1Res= 0.1697E-02 CFL= 0.1013E+04 TimeStep= 0.3259E+00 CpuPerStep= 0.2122E-01
   460       LmaxRes= 0.3630E-01 L1Res= 0.1704E-02 CFL= 0.1058E+04 TimeStep= 0.3405E+00 CpuPerStep= 0.2953E-01
   470       LmaxRes= 0.2487E-01 L1Res= 0.1717E-02 CFL= 0.1104E+04 TimeStep= 0.3555E+00 CpuPerStep= 0.2127E-01
